image_id,vg_vehicle_objs,clip_count_pred,confidence,max_softmax,image_path
1,3,4,0.9466812518703875,0.9836924610138376,C:\Users\ilios\Desktop\images\1.jpg
2,2,2,0.962352949433531,0.9874368216345781,C:\Users\ilios\Desktop\images\2.jpg
16,1,4,0.9752052794533858,0.9926450272905625,C:\Users\ilios\Desktop\images\16.jpg
22,5,4,0.9345184151051102,0.9784218518351476,C:\Users\ilios\Desktop\images\22.jpg
23,2,2,0.9543361062143805,0.9861513146169492,C:\Users\ilios\Desktop\images\23.jpg
24,1,5,0.9473154138414253,0.983290685417094,C:\Users\ilios\Desktop\images\24.jpg
25,3,3,0.9819064758666411,0.9953516035561017,C:\Users\ilios\Desktop\images\25.jpg
26,2,6,0.9885188878499988,0.9972473951709306,C:\Users\ilios\Desktop\images\26.jpg
34,1,0,0.17263999742517455,0.4199919908101065,C:\Users\ilios\Desktop\images\34.jpg
45,4,4,0.9154837473627638,0.9706192738680902,C:\Users\ilios\Desktop\images\45.jpg
47,3,5,0.9464366683847544,0.982815420037518,C:\Users\ilios\Desktop\images\47.jpg
48,5,7,0.9762546179888757,0.9932694187753727,C:\Users\ilios\Desktop\images\48.jpg
49,2,4,0.9117908409595528,0.9680286726824942,C:\Users\ilios\Desktop\images\49.jpg
53,2,2,0.43904412182862707,0.6144780581701651,C:\Users\ilios\Desktop\images\53.jpg
54,1,1,0.978223211497678,0.9942503020068536,C:\Users\ilios\Desktop\images\54.jpg
57,1,1,0.9718732487078997,0.9923198885349755,C:\Users\ilios\Desktop\images\57.jpg
59,3,4,0.9619422880823453,0.9886540583636604,C:\Users\ilios\Desktop\images\59.jpg
61,1,4,0.9456940471177714,0.9831113582255807,C:\Users\ilios\Desktop\images\61.jpg
65,5,5,0.9790975971965986,0.9944499593565007,C:\Users\ilios\Desktop\images\65.jpg
101,2,2,0.9019212271156912,0.9660020653430669,C:\Users\ilios\Desktop\images\101.jpg
102,2,2,0.9576431045661477,0.987209659236151,C:\Users\ilios\Desktop\images\102.jpg
103,2,2,0.9587171808654614,0.9876141327007733,C:\Users\ilios\Desktop\images\103.jpg
104,4,2,0.9712276326551432,0.9918939931126399,C:\Users\ilios\Desktop\images\104.jpg
105,5,4,0.6459865750379199,0.6857087892661279,C:\Users\ilios\Desktop\images\105.jpg
108,2,2,0.9142365368871392,0.9701884672282124,C:\Users\ilios\Desktop\images\108.jpg
109,1,4,0.9388034864704068,0.9794973081887772,C:\Users\ilios\Desktop\images\109.jpg
113,1,2,0.4368895155826076,0.6521719743064376,C:\Users\ilios\Desktop\images\113.jpg
126,1,4,0.5199594870372869,0.6860393696324107,C:\Users\ilios\Desktop\images\126.jpg
132,1,4,0.8531557017683162,0.9461874004232993,C:\Users\ilios\Desktop\images\132.jpg
137,3,5,0.2949998736693463,0.49610809055165217,C:\Users\ilios\Desktop\images\137.jpg
138,3,2,0.4044255242022383,0.6168385247391712,C:\Users\ilios\Desktop\images\138.jpg
145,4,4,0.6388857804170058,0.7974513963349199,C:\Users\ilios\Desktop\images\145.jpg
165,1,4,0.4286002845660658,0.6277984533247941,C:\Users\ilios\Desktop\images\165.jpg
171,3,4,0.8080046590082559,0.9258934820228624,C:\Users\ilios\Desktop\images\171.jpg
192,6,4,0.39405858864360777,0.6006188980739108,C:\Users\ilios\Desktop\images\192.jpg
198,1,0,0.5078489910999611,0.7327717685879244,C:\Users\ilios\Desktop\images\198.jpg
201,1,2,0.38366637475413234,0.41493143961880413,C:\Users\ilios\Desktop\images\201.jpg
203,9,2,0.5309108041242036,0.7343838954498965,C:\Users\ilios\Desktop\images\203.jpg
205,2,1,0.8221873962456969,0.9231361798173153,C:\Users\ilios\Desktop\images\205.jpg
215,1,2,0.7563685622121878,0.8519331103233118,C:\Users\ilios\Desktop\images\215.jpg
217,12,4,0.6265767008565255,0.8021282191716523,C:\Users\ilios\Desktop\images\217.jpg
222,3,4,0.38357077519412996,0.5813511702642761,C:\Users\ilios\Desktop\images\222.jpg
224,4,2,0.5032941770198728,0.7125376539908741,C:\Users\ilios\Desktop\images\224.jpg
225,1,4,0.6167721527793986,0.8092735529243731,C:\Users\ilios\Desktop\images\225.jpg
229,3,1,0.23149315716364838,0.40338595928159726,C:\Users\ilios\Desktop\images\229.jpg
231,1,4,0.4611069865002263,0.5484072838851516,C:\Users\ilios\Desktop\images\231.jpg
236,2,1,0.7428439820414121,0.8908914042310149,C:\Users\ilios\Desktop\images\236.jpg
243,9,2,0.4947327873308708,0.5933773156116459,C:\Users\ilios\Desktop\images\243.jpg
246,2,2,0.623796356454669,0.7529273693872728,C:\Users\ilios\Desktop\images\246.jpg
248,1,4,0.775248648481337,0.8905954628501537,C:\Users\ilios\Desktop\images\248.jpg
250,3,2,0.9568711732848308,0.9868125548961938,C:\Users\ilios\Desktop\images\250.jpg
253,1,1,0.3584750373928186,0.507708425195908,C:\Users\ilios\Desktop\images\253.jpg
261,2,1,0.44426741461463626,0.63325348307699,C:\Users\ilios\Desktop\images\261.jpg
262,3,2,0.8239877585941288,0.9182480684061854,C:\Users\ilios\Desktop\images\262.jpg
269,1,2,0.6276610892813226,0.5874436141574603,C:\Users\ilios\Desktop\images\269.jpg
270,3,4,0.3623403364586494,0.5538363556789119,C:\Users\ilios\Desktop\images\270.jpg
271,3,5,0.37846120065642264,0.44154407788643807,C:\Users\ilios\Desktop\images\271.jpg
273,3,1,0.6916605747042581,0.8458271693142965,C:\Users\ilios\Desktop\images\273.jpg
276,3,4,0.3642073797541956,0.35917422049405606,C:\Users\ilios\Desktop\images\276.jpg
279,2,4,0.5758865856505029,0.527050762542809,C:\Users\ilios\Desktop\images\279.jpg
280,1,5,0.4331779815615733,0.5967076874932087,C:\Users\ilios\Desktop\images\280.jpg
282,1,1,0.32917642345655374,0.53201676336264,C:\Users\ilios\Desktop\images\282.jpg
290,4,2,0.5224784779700683,0.7375411685515989,C:\Users\ilios\Desktop\images\290.jpg
294,3,4,0.765982995877859,0.8659612775088253,C:\Users\ilios\Desktop\images\294.jpg
301,4,2,0.7769021184334792,0.8931021816145653,C:\Users\ilios\Desktop\images\301.jpg
302,1,2,0.7745979752771442,0.8896545855838754,C:\Users\ilios\Desktop\images\302.jpg
303,2,2,0.9462183765101502,0.9817502750513186,C:\Users\ilios\Desktop\images\303.jpg
304,1,2,0.7900349753567121,0.9093705817688613,C:\Users\ilios\Desktop\images\304.jpg
306,1,2,0.8880659980904793,0.9576542532568386,C:\Users\ilios\Desktop\images\306.jpg
308,1,4,0.507421298900098,0.5697287795083484,C:\Users\ilios\Desktop\images\308.jpg
310,1,2,0.5300658623994883,0.4993345286545019,C:\Users\ilios\Desktop\images\310.jpg
311,1,2,0.8290535187937036,0.9069053996277243,C:\Users\ilios\Desktop\images\311.jpg
313,2,4,0.5024449395317823,0.5743451376297045,C:\Users\ilios\Desktop\images\313.jpg
314,2,2,0.7392213928307314,0.8587122038515198,C:\Users\ilios\Desktop\images\314.jpg
316,2,2,0.860395379425605,0.9466452508039798,C:\Users\ilios\Desktop\images\316.jpg
317,1,4,0.2619012096534067,0.36106287091733874,C:\Users\ilios\Desktop\images\317.jpg
318,1,2,0.576658669410836,0.4843621276268189,C:\Users\ilios\Desktop\images\318.jpg
320,1,2,0.4597750544158159,0.6383627430769113,C:\Users\ilios\Desktop\images\320.jpg
321,2,2,0.9651315317586355,0.9886610281678531,C:\Users\ilios\Desktop\images\321.jpg
323,2,4,0.6205925623125451,0.6107150452581568,C:\Users\ilios\Desktop\images\323.jpg
327,3,2,0.5389007310380532,0.6436845263721621,C:\Users\ilios\Desktop\images\327.jpg
338,1,2,0.32153286058273267,0.45813133150873797,C:\Users\ilios\Desktop\images\338.jpg
340,1,4,0.441014500750712,0.60044362947931,C:\Users\ilios\Desktop\images\340.jpg
341,1,2,0.38050203529983695,0.5129220067302285,C:\Users\ilios\Desktop\images\341.jpg
343,1,4,0.9603722907769734,0.9886679829985193,C:\Users\ilios\Desktop\images\343.jpg
345,2,4,0.48999463616962446,0.6672058274954389,C:\Users\ilios\Desktop\images\345.jpg
355,3,4,0.6053060120117046,0.7605610485073506,C:\Users\ilios\Desktop\images\355.jpg
361,2,2,0.630120796835098,0.6727644682765505,C:\Users\ilios\Desktop\images\361.jpg
362,4,2,0.6184241130795949,0.585166680911264,C:\Users\ilios\Desktop\images\362.jpg
365,1,2,0.595494470197954,0.5046771913788402,C:\Users\ilios\Desktop\images\365.jpg
366,1,2,0.7587926430617349,0.8473729688136195,C:\Users\ilios\Desktop\images\366.jpg
368,3,2,0.6237092192560021,0.5707184728964464,C:\Users\ilios\Desktop\images\368.jpg
400,3,4,0.28369868286776845,0.49792811690474575,C:\Users\ilios\Desktop\images\400.jpg
401,2,2,0.5127945837343373,0.7340131364186009,C:\Users\ilios\Desktop\images\401.jpg
422,2,5,0.2665349807351638,0.4284770273439706,C:\Users\ilios\Desktop\images\422.jpg
423,2,5,0.49054341773225063,0.5752955983575432,C:\Users\ilios\Desktop\images\423.jpg
426,3,2,0.3851190637895624,0.4574970790251414,C:\Users\ilios\Desktop\images\426.jpg
427,1,2,0.36396770860942906,0.5220937933795988,C:\Users\ilios\Desktop\images\427.jpg
428,4,2,0.8241806292426146,0.9234408864450547,C:\Users\ilios\Desktop\images\428.jpg
429,2,2,0.7290333378191858,0.839717826678088,C:\Users\ilios\Desktop\images\429.jpg
435,1,5,0.23756046058056213,0.323711770995337,C:\Users\ilios\Desktop\images\435.jpg
438,5,2,0.5061378509521541,0.4953873072995505,C:\Users\ilios\Desktop\images\438.jpg
439,2,5,0.42829333954515325,0.5343321746357433,C:\Users\ilios\Desktop\images\439.jpg
445,1,6,0.36246950384848864,0.5991346788640307,C:\Users\ilios\Desktop\images\445.jpg
451,5,6,0.35114425053654297,0.5822672374605875,C:\Users\ilios\Desktop\images\451.jpg
452,1,4,0.4903155272294737,0.724683751388675,C:\Users\ilios\Desktop\images\452.jpg
455,1,2,0.7124052490658057,0.8184445692681621,C:\Users\ilios\Desktop\images\455.jpg
456,1,2,0.6883419729471503,0.7954294111560358,C:\Users\ilios\Desktop\images\456.jpg
457,2,4,0.5203952845484985,0.6897952534425162,C:\Users\ilios\Desktop\images\457.jpg
458,3,2,0.6428308230192621,0.7007321729138465,C:\Users\ilios\Desktop\images\458.jpg
459,5,2,0.6850592140893415,0.8197499401648493,C:\Users\ilios\Desktop\images\459.jpg
460,3,2,0.7281508869254343,0.8599180511182051,C:\Users\ilios\Desktop\images\460.jpg
462,3,2,0.7583305613667529,0.8738476921835485,C:\Users\ilios\Desktop\images\462.jpg
463,1,4,0.5012681437731223,0.543462556226099,C:\Users\ilios\Desktop\images\463.jpg
464,2,1,0.12052893578061574,0.26739209686351545,C:\Users\ilios\Desktop\images\464.jpg
469,6,2,0.6471383996854969,0.793146722208463,C:\Users\ilios\Desktop\images\469.jpg
471,3,2,0.19057897710663319,0.41529413199216814,C:\Users\ilios\Desktop\images\471.jpg
477,7,2,0.8385432766483198,0.9326794852533181,C:\Users\ilios\Desktop\images\477.jpg
479,1,2,0.7104876459853714,0.7801078027729466,C:\Users\ilios\Desktop\images\479.jpg
530,1,2,0.8761082473234545,0.9513030732168309,C:\Users\ilios\Desktop\images\530.jpg
539,1,2,0.846925419294872,0.9317251535004326,C:\Users\ilios\Desktop\images\539.jpg
