image_id,vg_vehicle_objs,clip_count_pred,confidence,max_softmax,image_path
1,3,11,0.362892169,0.584501386,C:\Users\ilios\Desktop\images\1.jpg
2,2,1,0.031466381,0.147723198,C:\Users\ilios\Desktop\images\2.jpg
16,1,4,0.12054358,0.243379325,C:\Users\ilios\Desktop\images\16.jpg
22,5,1,0.090155726,0.297407836,C:\Users\ilios\Desktop\images\22.jpg
23,2,7,0.06363913,0.147258058,C:\Users\ilios\Desktop\images\23.jpg
24,1,11,0.018546774,0.119196616,C:\Users\ilios\Desktop\images\24.jpg
25,3,11,0.038032013,0.168690324,C:\Users\ilios\Desktop\images\25.jpg
26,2,11,0.275389647,0.532005966,C:\Users\ilios\Desktop\images\26.jpg
34,1,0,0.068621162,0.212890834,C:\Users\ilios\Desktop\images\34.jpg
45,4,0,0.040367259,0.218348891,C:\Users\ilios\Desktop\images\45.jpg
47,3,0,0.033109372,0.170520604,C:\Users\ilios\Desktop\images\47.jpg
48,5,11,0.131632139,0.36308375,C:\Users\ilios\Desktop\images\48.jpg
49,2,11,0.03546352,0.206521913,C:\Users\ilios\Desktop\images\49.jpg
53,2,1,0.053599844,0.170424297,C:\Users\ilios\Desktop\images\53.jpg
54,1,11,0.106400461,0.317055345,C:\Users\ilios\Desktop\images\54.jpg
57,1,11,0.061156605,0.199576855,C:\Users\ilios\Desktop\images\57.jpg
59,3,2,0.040875393,0.129124254,C:\Users\ilios\Desktop\images\59.jpg
61,1,7,0.045504725,0.132114261,C:\Users\ilios\Desktop\images\61.jpg
65,5,1,0.214062439,0.412507296,C:\Users\ilios\Desktop\images\65.jpg
101,2,2,0.024134902,0.140297323,C:\Users\ilios\Desktop\images\101.jpg
102,2,11,0.031994951,0.163192242,C:\Users\ilios\Desktop\images\102.jpg
103,2,11,0.017295246,0.161667153,C:\Users\ilios\Desktop\images\103.jpg
104,4,1,0.245563993,0.394532144,C:\Users\ilios\Desktop\images\104.jpg
105,5,2,0.028545571,0.133362606,C:\Users\ilios\Desktop\images\105.jpg
108,2,0,0.020066954,0.102145068,C:\Users\ilios\Desktop\images\108.jpg
109,1,11,0.474460328,0.699562132,C:\Users\ilios\Desktop\images\109.jpg
113,1,6,0.014029028,0.122887462,C:\Users\ilios\Desktop\images\113.jpg
126,1,11,0.446747613,0.682537854,C:\Users\ilios\Desktop\images\126.jpg
132,1,1,0.047673121,0.137877017,C:\Users\ilios\Desktop\images\132.jpg
137,3,2,0.012715326,0.124523744,C:\Users\ilios\Desktop\images\137.jpg
138,3,1,0.140129274,0.296325743,C:\Users\ilios\Desktop\images\138.jpg
145,4,2,0.091589266,0.208724752,C:\Users\ilios\Desktop\images\145.jpg
165,1,7,0.038059454,0.130546823,C:\Users\ilios\Desktop\images\165.jpg
171,3,1,0.122538887,0.295547098,C:\Users\ilios\Desktop\images\171.jpg
192,6,2,0.037012004,0.125242338,C:\Users\ilios\Desktop\images\192.jpg
198,1,1,0.144923155,0.351928711,C:\Users\ilios\Desktop\images\198.jpg
201,1,2,0.060379533,0.192894399,C:\Users\ilios\Desktop\images\201.jpg
203,9,7,0.029751237,0.121291533,C:\Users\ilios\Desktop\images\203.jpg
205,2,2,0.046843373,0.175088286,C:\Users\ilios\Desktop\images\205.jpg
215,1,0,0.087173511,0.210005403,C:\Users\ilios\Desktop\images\215.jpg
217,12,10,0.043437746,0.147178844,C:\Users\ilios\Desktop\images\217.jpg
222,3,2,0.063945008,0.18699342,C:\Users\ilios\Desktop\images\222.jpg
224,4,2,0.095932773,0.213125944,C:\Users\ilios\Desktop\images\224.jpg
225,1,9,0.020558777,0.114352703,C:\Users\ilios\Desktop\images\225.jpg
229,3,0,0.029904464,0.125857756,C:\Users\ilios\Desktop\images\229.jpg
231,1,2,0.091513948,0.246137351,C:\Users\ilios\Desktop\images\231.jpg
236,2,2,0.02791856,0.128023148,C:\Users\ilios\Desktop\images\236.jpg
243,9,9,0.174847394,0.219894052,C:\Users\ilios\Desktop\images\243.jpg
246,2,4,0.047393436,0.149845317,C:\Users\ilios\Desktop\images\246.jpg
